counts	number of items in equivalence class	isoforms in equivalence class
1	4	('ENST00000415148', 'ENST00000428726', 'ENST00000525211', 'ENST00000531110')
1	5	('ENST00000527766', 'ENST00000529609', 'ENST00000531909', 'ENST00000533273', 'ENST00000682305')
1	1	('ENST00000681211',)
1	7	('ENST00000292067', 'ENST00000356289', 'ENST00000524477', 'ENST00000526595', 'ENST00000526620', 'ENST00000533261', 'ENST00000640745')
1	1	('ENST00000578626',)
1	4	('ENST00000298925', 'ENST00000325319', 'ENST00000357134', 'ENST00000532434')
1	4	('ENST00000281268', 'ENST00000436318', 'ENST00000455601', 'ENST00000529533')
1	2	('ENST00000361763', 'ENST00000528600')
1	1	('ENST00000489525',)
1	4	('ENST00000525279', 'ENST00000525895', 'ENST00000527667', 'ENST00000532633')
1	5	('ENST00000227868', 'ENST00000430469', 'ENST00000448838', 'ENST00000533262', 'ENST00000533550')
1	2	('ENST00000315571', 'ENST00000528989')
1	2	('ENST00000529372', 'ENST00000532097')
1	2	('ENST00000257818', 'ENST00000395833')
1	1	('ENST00000455971',)
1	12	('ENST00000399817', 'ENST00000533141', 'ENST00000616316', 'ENST00000680197', 'ENST00000680261', 'ENST00000680344', 'ENST00000680619', 'ENST00000681276', 'ENST00000681810', 'ENST00000681833', 'ENST00000681900', 'ENST00000681914')
1	2	('ENST00000534532', 'ENST00000685324')
1	1	('ENST00000581438',)
1	2	('ENST00000280467', 'ENST00000396005')
1	11	('ENST00000456860', 'ENST00000529432', 'ENST00000529750', 'ENST00000534764', 'ENST00000632815', 'ENST00000633087', 'ENST00000633646', 'ENST00000635736', 'ENST00000638086', 'ENST00000638157', 'ENST00000646146')
1	7	('ENST00000279968', 'ENST00000526175', 'ENST00000528724', 'ENST00000531909', 'ENST00000532156', 'ENST00000532407', 'ENST00000682305')
1	6	('ENST00000265651', 'ENST00000448981', 'ENST00000526785', 'ENST00000529137', 'ENST00000532927', 'ENST00000534136')
1	1	('ENST00000302731',)
1	18	('ENST00000358694', 'ENST00000361332', 'ENST00000361391', 'ENST00000361796', 'ENST00000399050', 'ENST00000428599', 'ENST00000524630', 'ENST00000526938', 'ENST00000529919', 'ENST00000531007', 'ENST00000673683', 'ENST00000673781', 'ENST00000673810', 'ENST00000673826', 'ENST00000674015', 'ENST00000674060', 'ENST00000674106', 'ENST00000674116')
1	1	('ENST00000527667',)
1	3	('ENST00000356289', 'ENST00000527877', 'ENST00000640745')
1	2	('ENST00000529583', 'ENST00000532407')
1	1	('ENST00000534764',)
1	28	('ENST00000358694', 'ENST00000361332', 'ENST00000361391', 'ENST00000361796', 'ENST00000399050', 'ENST00000415361', 'ENST00000428599', 'ENST00000524630', 'ENST00000526357', 'ENST00000526938', 'ENST00000528232', 'ENST00000528621', 'ENST00000529526', 'ENST00000529873', 'ENST00000529919', 'ENST00000529986', 'ENST00000530068', 'ENST00000530094', 'ENST00000530748', 'ENST00000531007', 'ENST00000532649', 'ENST00000532787', 'ENST00000532844', 'ENST00000534579', 'ENST00000673683', 'ENST00000673810', 'ENST00000674060', 'ENST00000674116')
1	2	('ENST00000456860', 'ENST00000529750')
1	3	('ENST00000392937', 'ENST00000510915', 'ENST00000680681')
1	3	('ENST00000531909', 'ENST00000533273', 'ENST00000682305')
1	7	('ENST00000450171', 'ENST00000456860', 'ENST00000529432', 'ENST00000529750', 'ENST00000635736', 'ENST00000638086', 'ENST00000646146')
1	9	('ENST00000525964', 'ENST00000527944', 'ENST00000534532', 'ENST00000534548', 'ENST00000688263', 'ENST00000688672', 'ENST00000689387', 'ENST00000690149', 'ENST00000691025')
1	7	('ENST00000278460', 'ENST00000378615', 'ENST00000378618', 'ENST00000395460', 'ENST00000525895', 'ENST00000527784', 'ENST00000528488')
1	3	('ENST00000529750', 'ENST00000635736', 'ENST00000646146')
1	6	('ENST00000313005', 'ENST00000428381', 'ENST00000445823', 'ENST00000513780', 'ENST00000514464', 'ENST00000528053')
1	9	('ENST00000450171', 'ENST00000456860', 'ENST00000529432', 'ENST00000529750', 'ENST00000534764', 'ENST00000635736', 'ENST00000638086', 'ENST00000638157', 'ENST00000646146')
1	1	('ENST00000524842',)
1	1	('ENST00000635736',)
1	4	('ENST00000356289', 'ENST00000525565', 'ENST00000533261', 'ENST00000640745')
1	1	('ENST00000525665',)
1	1	('ENST00000530393',)
1	1	('ENST00000534750',)
1	14	('ENST00000359513', 'ENST00000524625', 'ENST00000526508', 'ENST00000529655', 'ENST00000530500', 'ENST00000533325', 'ENST00000577256', 'ENST00000578626', 'ENST00000580238', 'ENST00000581416', 'ENST00000581438', 'ENST00000582547', 'ENST00000583249', 'ENST00000683050')
1	8	('ENST00000260282', 'ENST00000524656', 'ENST00000526014', 'ENST00000527717', 'ENST00000529335', 'ENST00000530956', 'ENST00000539526', 'ENST00000584394')
1	4	('ENST00000265651', 'ENST00000448981', 'ENST00000530401', 'ENST00000532927')
1	3	('ENST00000375024', 'ENST00000641521', 'ENST00000641722')
1	9	('ENST00000260282', 'ENST00000524656', 'ENST00000524841', 'ENST00000526014', 'ENST00000527717', 'ENST00000529335', 'ENST00000530956', 'ENST00000539526', 'ENST00000584230')
1	3	('ENST00000374979', 'ENST00000526629', 'ENST00000527140')
1	10	('ENST00000278385', 'ENST00000415148', 'ENST00000428726', 'ENST00000433892', 'ENST00000525685', 'ENST00000526553', 'ENST00000527889', 'ENST00000528672', 'ENST00000531110', 'ENST00000533222')
1	1	('ENST00000683197',)
1	8	('ENST00000332351', 'ENST00000379077', 'ENST00000379079', 'ENST00000448076', 'ENST00000452863', 'ENST00000530998', 'ENST00000640146', 'ENST00000651459')
1	6	('ENST00000278422', 'ENST00000378312', 'ENST00000524972', 'ENST00000673781', 'ENST00000673810', 'ENST00000674116')
1	5	('ENST00000397582', 'ENST00000397583', 'ENST00000414138', 'ENST00000431809', 'ENST00000531112')
1	3	('ENST00000430170', 'ENST00000524993', 'ENST00000526090')
1	1	('ENST00000397582',)
1	2	('ENST00000426335', 'ENST00000529439')
1	10	('ENST00000278903', 'ENST00000524723', 'ENST00000527235', 'ENST00000527842', 'ENST00000529812', 'ENST00000531636', 'ENST00000534546', 'ENST00000615917', 'ENST00000618552', 'ENST00000620753')
1	2	('ENST00000278927', 'ENST00000444566')
1	1	('ENST00000378615',)
1	1	('ENST00000397801',)
1	1	('ENST00000526090',)
1	1	('ENST00000257831',)
1	1	('ENST00000527235',)
1	2	('ENST00000379079', 'ENST00000530998')
1	5	('ENST00000415148', 'ENST00000428726', 'ENST00000433892', 'ENST00000434472', 'ENST00000528672')
1	3	('ENST00000641521', 'ENST00000641585', 'ENST00000641722')
1	1	('ENST00000397660',)
1	2	('ENST00000530419', 'ENST00000531632')
1	1	('ENST00000382614',)
1	1	('ENST00000641897',)
1	3	('ENST00000239614', 'ENST00000374979', 'ENST00000674284')
1	1	('ENST00000526876',)
1	3	('ENST00000312055', 'ENST00000526496', 'ENST00000529230')
1	25	('ENST00000358694', 'ENST00000361332', 'ENST00000361391', 'ENST00000361796', 'ENST00000415361', 'ENST00000426142', 'ENST00000428599', 'ENST00000525902', 'ENST00000526357', 'ENST00000526772', 'ENST00000527467', 'ENST00000528232', 'ENST00000528621', 'ENST00000529526', 'ENST00000529873', 'ENST00000529986', 'ENST00000530094', 'ENST00000530748', 'ENST00000531014', 'ENST00000532245', 'ENST00000532463', 'ENST00000532649', 'ENST00000532787', 'ENST00000532844', 'ENST00000533667')
1	4	('ENST00000527944', 'ENST00000530396', 'ENST00000690149', 'ENST00000691025')
1	9	('ENST00000332351', 'ENST00000379077', 'ENST00000379079', 'ENST00000448076', 'ENST00000452863', 'ENST00000527882', 'ENST00000530998', 'ENST00000639563', 'ENST00000640146')
1	1	('ENST00000435477',)
1	1	('ENST00000684663',)
1	3	('ENST00000324559', 'ENST00000682341', 'ENST00000683197')
1	11	('ENST00000260282', 'ENST00000524656', 'ENST00000524841', 'ENST00000526014', 'ENST00000527717', 'ENST00000529335', 'ENST00000530956', 'ENST00000539526', 'ENST00000584230', 'ENST00000584394', 'ENST00000614497')
1	1	('ENST00000527337',)
1	2	('ENST00000325147', 'ENST00000410108')
1	2	('ENST00000526000', 'ENST00000527889')
1	2	('ENST00000415148', 'ENST00000428726')
1	7	('ENST00000399817', 'ENST00000602569', 'ENST00000616316', 'ENST00000680261', 'ENST00000680344', 'ENST00000681211', 'ENST00000681833')
1	1	('ENST00000530820',)
1	5	('ENST00000526606', 'ENST00000528950', 'ENST00000533727', 'ENST00000534300', 'ENST00000683756')
1	6	('ENST00000334274', 'ENST00000527661', 'ENST00000528107', 'ENST00000528898', 'ENST00000530419', 'ENST00000531632')
1	3	('ENST00000378618', 'ENST00000525279', 'ENST00000528488')
1	1	('ENST00000360374',)
1	1	('ENST00000533463',)
1	1	('ENST00000674106',)
1	4	('ENST00000279968', 'ENST00000531909', 'ENST00000532156', 'ENST00000533273')
1	4	('ENST00000529609', 'ENST00000531909', 'ENST00000533273', 'ENST00000682305')
1	2	('ENST00000441174', 'ENST00000530731')
1	1	('ENST00000335397',)
1	5	('ENST00000399817', 'ENST00000602569', 'ENST00000680261', 'ENST00000680344', 'ENST00000681833')
1	6	('ENST00000437212', 'ENST00000517483', 'ENST00000517544', 'ENST00000519236', 'ENST00000522824', 'ENST00000534111')
1	7	('ENST00000361332', 'ENST00000361391', 'ENST00000361796', 'ENST00000399050', 'ENST00000426142', 'ENST00000529526', 'ENST00000532463')
1	1	('ENST00000533602',)
1	3	('ENST00000357821', 'ENST00000641015', 'ENST00000641897')
1	6	('ENST00000265651', 'ENST00000448981', 'ENST00000529137', 'ENST00000530401', 'ENST00000532927', 'ENST00000534136')
1	11	('ENST00000279968', 'ENST00000524373', 'ENST00000526175', 'ENST00000527271', 'ENST00000527766', 'ENST00000528724', 'ENST00000529583', 'ENST00000531909', 'ENST00000532407', 'ENST00000533273', 'ENST00000682305')
1	1	('ENST00000395549',)
1	1	('ENST00000533363',)
1	4	('ENST00000526606', 'ENST00000533727', 'ENST00000534300', 'ENST00000683756')
1	2	('ENST00000641439', 'ENST00000641478')
1	2	('ENST00000359513', 'ENST00000528494')
1	27	('ENST00000358694', 'ENST00000361332', 'ENST00000361391', 'ENST00000361796', 'ENST00000399050', 'ENST00000415361', 'ENST00000426142', 'ENST00000428599', 'ENST00000525902', 'ENST00000526357', 'ENST00000526772', 'ENST00000527467', 'ENST00000528232', 'ENST00000528621', 'ENST00000529526', 'ENST00000529873', 'ENST00000529986', 'ENST00000530094', 'ENST00000530748', 'ENST00000531014', 'ENST00000532245', 'ENST00000532463', 'ENST00000532649', 'ENST00000532787', 'ENST00000532844', 'ENST00000533667', 'ENST00000534579')
1	3	('ENST00000227868', 'ENST00000448838', 'ENST00000533550')
1	1	('ENST00000641342',)
1	1	('ENST00000448981',)
1	16	('ENST00000358694', 'ENST00000361332', 'ENST00000361391', 'ENST00000361796', 'ENST00000399050', 'ENST00000524630', 'ENST00000529526', 'ENST00000529919', 'ENST00000531007', 'ENST00000532649', 'ENST00000534579', 'ENST00000673683', 'ENST00000673810', 'ENST00000673826', 'ENST00000674015', 'ENST00000674106')
1	4	('ENST00000426335', 'ENST00000524782', 'ENST00000525398', 'ENST00000532438')
1	2	('ENST00000278379', 'ENST00000642769')
1	1	('ENST00000524711',)
1	3	('ENST00000441174', 'ENST00000530731', 'ENST00000531667')
1	1	('ENST00000529192',)
1	1	('ENST00000526787',)
1	1	('ENST00000525836',)
1	6	('ENST00000399817', 'ENST00000616316', 'ENST00000680261', 'ENST00000680344', 'ENST00000681211', 'ENST00000681833')
1	5	('ENST00000392708', 'ENST00000525652', 'ENST00000527606', 'ENST00000529886', 'ENST00000649491')
1	2	('ENST00000298282', 'ENST00000532623')
1	3	('ENST00000336139', 'ENST00000528306', 'ENST00000529691')
1	10	('ENST00000426335', 'ENST00000524782', 'ENST00000525314', 'ENST00000525398', 'ENST00000527927', 'ENST00000528041', 'ENST00000530596', 'ENST00000532438', 'ENST00000533243', 'ENST00000627920')
1	5	('ENST00000279968', 'ENST00000529530', 'ENST00000531909', 'ENST00000532156', 'ENST00000533273')
1	8	('ENST00000437212', 'ENST00000517483', 'ENST00000517544', 'ENST00000519236', 'ENST00000522151', 'ENST00000523251', 'ENST00000534111', 'ENST00000616579')
1	1	('ENST00000336139',)
1	1	('ENST00000529530',)
1	3	('ENST00000336139', 'ENST00000526252', 'ENST00000533463')
1	2	('ENST00000330796', 'ENST00000525188')
1	1	('ENST00000352303',)
1	1	('ENST00000525035',)
1	1	('ENST00000530649',)
1	1	('ENST00000529051',)
1	3	('ENST00000279968', 'ENST00000524373', 'ENST00000533273')
1	1	('ENST00000680681',)
1	1	('ENST00000530887',)
1	6	('ENST00000302731', 'ENST00000529430', 'ENST00000529773', 'ENST00000533682', 'ENST00000533905', 'ENST00000681650')
1	1	('ENST00000534312',)
1	1	('ENST00000430070',)
1	2	('ENST00000525720', 'ENST00000533290')
1	2	('ENST00000409109', 'ENST00000525863')
1	1	('ENST00000397614',)
1	1	('ENST00000525863',)
1	1	('ENST00000529499',)
1	7	('ENST00000382743', 'ENST00000524564', 'ENST00000525319', 'ENST00000529055', 'ENST00000530067', 'ENST00000532837', 'ENST00000532956')
1	2	('ENST00000530023', 'ENST00000648582')
1	2	('ENST00000263776', 'ENST00000533404')
1	14	('ENST00000263578', 'ENST00000532125', 'ENST00000533839', 'ENST00000685484', 'ENST00000685601', 'ENST00000685765', 'ENST00000686888', 'ENST00000688588', 'ENST00000689283', 'ENST00000689477', 'ENST00000689765', 'ENST00000690512', 'ENST00000692039', 'ENST00000692336')
1	2	('ENST00000531399', 'ENST00000602346')
1	4	('ENST00000525123', 'ENST00000528244', 'ENST00000530577', 'ENST00000532595')
1	1	('ENST00000531399',)
1	2	('ENST00000329962', 'ENST00000534778')
1	8	('ENST00000382743', 'ENST00000524564', 'ENST00000525319', 'ENST00000529055', 'ENST00000529937', 'ENST00000530067', 'ENST00000532837', 'ENST00000532956')
1	2	('ENST00000525123', 'ENST00000532595')
1	1	('ENST00000528632',)
1	4	('ENST00000278200', 'ENST00000530023', 'ENST00000532287', 'ENST00000533642')
1	2	('ENST00000530023', 'ENST00000533642')
1	1	('ENST00000326656',)
1	6	('ENST00000292199', 'ENST00000409265', 'ENST00000409991', 'ENST00000422249', 'ENST00000449394', 'ENST00000454811')
1	8	('ENST00000343631', 'ENST00000395673', 'ENST00000533608', 'ENST00000682359', 'ENST00000682993', 'ENST00000683000', 'ENST00000683870', 'ENST00000684533')
1	9	('ENST00000358681', 'ENST00000395673', 'ENST00000533608', 'ENST00000682359', 'ENST00000682815', 'ENST00000682993', 'ENST00000683000', 'ENST00000684039', 'ENST00000684533')
1	3	('ENST00000530467', 'ENST00000610597', 'ENST00000621959')
1	9	('ENST00000527038', 'ENST00000531968', 'ENST00000532421', 'ENST00000532519', 'ENST00000543287', 'ENST00000612687', 'ENST00000614711', 'ENST00000617285', 'ENST00000652093')
1	1	('ENST00000281428',)
1	17	('ENST00000379107', 'ENST00000379109', 'ENST00000379129', 'ENST00000379132', 'ENST00000419022', 'ENST00000606377', 'ENST00000638685', 'ENST00000638914', 'ENST00000638963', 'ENST00000638965', 'ENST00000639386', 'ENST00000639409', 'ENST00000639916', 'ENST00000640368', 'ENST00000640610', 'ENST00000640975', 'ENST00000643871')
1	1	('ENST00000533839',)
1	2	('ENST00000686242', 'ENST00000686888')
1	4	('ENST00000527038', 'ENST00000543287', 'ENST00000612687', 'ENST00000617285')
1	7	('ENST00000292199', 'ENST00000409109', 'ENST00000409265', 'ENST00000409991', 'ENST00000449394', 'ENST00000454811', 'ENST00000525863')
1	2	('ENST00000409265', 'ENST00000454811')
1	7	('ENST00000527038', 'ENST00000532421', 'ENST00000532519', 'ENST00000543287', 'ENST00000612687', 'ENST00000617285', 'ENST00000621959')
1	1	('ENST00000692336',)
1	6	('ENST00000527038', 'ENST00000532421', 'ENST00000532519', 'ENST00000543287', 'ENST00000612687', 'ENST00000617285')
1	2	('ENST00000614711', 'ENST00000617285')
1	1	('ENST00000534775',)
1	3	('ENST00000311027', 'ENST00000395336', 'ENST00000405573')
1	5	('ENST00000325468', 'ENST00000401752', 'ENST00000529052', 'ENST00000531526', 'ENST00000534410')
1	1	('ENST00000534410',)
1	1	('ENST00000623907',)
1	5	('ENST00000359005', 'ENST00000525079', 'ENST00000528230', 'ENST00000533058', 'ENST00000533632')
1	8	('ENST00000395850', 'ENST00000415002', 'ENST00000426650', 'ENST00000525763', 'ENST00000533403', 'ENST00000642928', 'ENST00000652086', 'ENST00000652678')
1	3	('ENST00000397614', 'ENST00000397615', 'ENST00000527485')
1	1	('ENST00000340882',)
1	10	('ENST00000354420', 'ENST00000356187', 'ENST00000397614', 'ENST00000397615', 'ENST00000525701', 'ENST00000527485', 'ENST00000529306', 'ENST00000532055', 'ENST00000533410', 'ENST00000534797')
1	1	('ENST00000417545',)
1	4	('ENST00000526884', 'ENST00000529319', 'ENST00000532225', 'ENST00000682444')
1	3	('ENST00000529319', 'ENST00000532225', 'ENST00000682444')
1	5	('ENST00000278353', 'ENST00000395700', 'ENST00000527433', 'ENST00000636722', 'ENST00000637401')
1	3	('ENST00000341846', 'ENST00000475051', 'ENST00000529044')
1	2	('ENST00000313503', 'ENST00000641311')
1	2	('ENST00000641913', 'ENST00000642058')
1	3	('ENST00000524794', 'ENST00000530278', 'ENST00000531755')
1	1	('ENST00000524794',)
1	2	('ENST00000313022', 'ENST00000641600')
1	1	('ENST00000642097',)
1	3	('ENST00000278353', 'ENST00000531185', 'ENST00000636007')
1	1	('ENST00000528501',)
1	1	('ENST00000637974',)
1	1	('ENST00000530969',)
1	1	('ENST00000681184',)
1	1	('ENST00000524655',)
1	5	('ENST00000525123', 'ENST00000528244', 'ENST00000529154', 'ENST00000530577', 'ENST00000532595')
1	4	('ENST00000310343', 'ENST00000524655', 'ENST00000525234', 'ENST00000682385')
1	1	('ENST00000538950',)
1	1	('ENST00000524567',)
1	8	('ENST00000382743', 'ENST00000524564', 'ENST00000525319', 'ENST00000526854', 'ENST00000529055', 'ENST00000529382', 'ENST00000532837', 'ENST00000532956')
1	1	('ENST00000278200',)
1	1	('ENST00000636722',)
1	6	('ENST00000311027', 'ENST00000349238', 'ENST00000395344', 'ENST00000402799', 'ENST00000406482', 'ENST00000407859')
1	1	('ENST00000532956',)
1	1	('ENST00000526854',)
1	9	('ENST00000350638', 'ENST00000379163', 'ENST00000638347', 'ENST00000638482', 'ENST00000638764', 'ENST00000639570', 'ENST00000639878', 'ENST00000640533', 'ENST00000640961')
1	1	('ENST00000681840',)
1	7	('ENST00000359005', 'ENST00000434101', 'ENST00000525079', 'ENST00000525303', 'ENST00000528230', 'ENST00000533058', 'ENST00000533632')
1	3	('ENST00000378460', 'ENST00000526870', 'ENST00000528071')
1	1	('ENST00000525763',)
1	1	('ENST00000526419',)
1	1	('ENST00000395566',)
1	1	('ENST00000426530',)
1	16	('ENST00000227495', 'ENST00000356132', 'ENST00000392669', 'ENST00000444328', 'ENST00000449406', 'ENST00000524860', 'ENST00000526727', 'ENST00000528858', 'ENST00000530591', 'ENST00000532243', 'ENST00000534083', 'ENST00000534457', 'ENST00000676545', 'ENST00000676867', 'ENST00000677503', 'ENST00000678865')
1	2	('ENST00000524928', 'ENST00000526614')
1	2	('ENST00000524928', 'ENST00000531419')
1	2	('ENST00000531419', 'ENST00000531865')
1	3	('ENST00000537841', 'ENST00000542729', 'ENST00000542822')
1	9	('ENST00000354202', 'ENST00000392834', 'ENST00000409993', 'ENST00000682232', 'ENST00000682791', 'ENST00000682811', 'ENST00000682946', 'ENST00000683143', 'ENST00000684345')
1	19	('ENST00000354202', 'ENST00000392834', 'ENST00000409993', 'ENST00000414373', 'ENST00000442480', 'ENST00000638850', 'ENST00000639704', 'ENST00000640747', 'ENST00000682232', 'ENST00000682326', 'ENST00000682791', 'ENST00000682811', 'ENST00000682946', 'ENST00000683143', 'ENST00000684142', 'ENST00000684255', 'ENST00000684345', 'ENST00000684499', 'ENST00000684682')
1	10	('ENST00000354202', 'ENST00000392834', 'ENST00000409993', 'ENST00000442480', 'ENST00000639704', 'ENST00000640102', 'ENST00000640747', 'ENST00000682791', 'ENST00000682811', 'ENST00000683143')
1	19	('ENST00000354202', 'ENST00000392834', 'ENST00000409993', 'ENST00000414373', 'ENST00000442480', 'ENST00000638850', 'ENST00000639704', 'ENST00000640102', 'ENST00000640747', 'ENST00000682232', 'ENST00000682326', 'ENST00000682791', 'ENST00000682811', 'ENST00000683143', 'ENST00000684142', 'ENST00000684255', 'ENST00000684345', 'ENST00000684499', 'ENST00000684682')
1	4	('ENST00000241041', 'ENST00000378750', 'ENST00000525229', 'ENST00000529030')
1	7	('ENST00000392841', 'ENST00000542729', 'ENST00000543090', 'ENST00000544387', 'ENST00000648374', 'ENST00000652429', 'ENST00000686218')
1	2	('ENST00000392678', 'ENST00000488598')
1	3	('ENST00000442944', 'ENST00000545621', 'ENST00000652429')
1	3	('ENST00000241041', 'ENST00000378750', 'ENST00000525229')
1	1	('ENST00000525192',)
1	1	('ENST00000530656',)
1	2	('ENST00000392834', 'ENST00000682232')
1	2	('ENST00000638482', 'ENST00000640533')
1	2	('ENST00000534751', 'ENST00000683152')
1	3	('ENST00000392669', 'ENST00000444328', 'ENST00000526727')
1	2	('ENST00000530912', 'ENST00000619920')
1	1	('ENST00000531051',)
1	4	('ENST00000431742', 'ENST00000438862', 'ENST00000524556', 'ENST00000524827')
1	4	('ENST00000431843', 'ENST00000528058', 'ENST00000528209', 'ENST00000530494')
1	14	('ENST00000356132', 'ENST00000392669', 'ENST00000444328', 'ENST00000526311', 'ENST00000526727', 'ENST00000528858', 'ENST00000531217', 'ENST00000534083', 'ENST00000534452', 'ENST00000534733', 'ENST00000676545', 'ENST00000676867', 'ENST00000677721', 'ENST00000678865')
1	1	('ENST00000676867',)
1	6	('ENST00000323959', 'ENST00000431742', 'ENST00000438862', 'ENST00000524556', 'ENST00000524775', 'ENST00000524827')
1	4	('ENST00000298854', 'ENST00000352508', 'ENST00000524487', 'ENST00000529341')
1	6	('ENST00000332725', 'ENST00000397632', 'ENST00000431843', 'ENST00000528058', 'ENST00000530494', 'ENST00000531205')
1	1	('ENST00000449465',)
1	2	('ENST00000443527', 'ENST00000616623')
1	1	('ENST00000648488',)
1	14	('ENST00000350638', 'ENST00000379163', 'ENST00000474374', 'ENST00000638347', 'ENST00000638482', 'ENST00000638764', 'ENST00000638917', 'ENST00000639570', 'ENST00000639878', 'ENST00000640081', 'ENST00000640231', 'ENST00000640342', 'ENST00000640533', 'ENST00000640961')
1	1	('ENST00000650101',)
1	9	('ENST00000227495', 'ENST00000444328', 'ENST00000531217', 'ENST00000534733', 'ENST00000676545', 'ENST00000676867', 'ENST00000677503', 'ENST00000677721', 'ENST00000678865')
1	5	('ENST00000350638', 'ENST00000638184', 'ENST00000638917', 'ENST00000640081', 'ENST00000640961')
1	7	('ENST00000227495', 'ENST00000444328', 'ENST00000531217', 'ENST00000534733', 'ENST00000676545', 'ENST00000676867', 'ENST00000678865')
1	9	('ENST00000392834', 'ENST00000414373', 'ENST00000682232', 'ENST00000682326', 'ENST00000684142', 'ENST00000684255', 'ENST00000684345', 'ENST00000684499', 'ENST00000684682')
1	1	('ENST00000682946',)
1	8	('ENST00000392841', 'ENST00000537841', 'ENST00000542729', 'ENST00000543090', 'ENST00000544387', 'ENST00000648374', 'ENST00000652429', 'ENST00000686218')
1	1	('ENST00000543178',)
1	1	('ENST00000528209',)
1	1	('ENST00000640102',)
1	1	('ENST00000526395',)
1	10	('ENST00000263578', 'ENST00000532125', 'ENST00000533839', 'ENST00000686242', 'ENST00000686888', 'ENST00000689283', 'ENST00000689477', 'ENST00000689765', 'ENST00000690512', 'ENST00000692336')
1	4	('ENST00000528434', 'ENST00000528538', 'ENST00000531165', 'ENST00000687097')
1	1	('ENST00000395292',)
1	16	('ENST00000263578', 'ENST00000525770', 'ENST00000532125', 'ENST00000533839', 'ENST00000685484', 'ENST00000685601', 'ENST00000685765', 'ENST00000685844', 'ENST00000686888', 'ENST00000688588', 'ENST00000689283', 'ENST00000689477', 'ENST00000689765', 'ENST00000690512', 'ENST00000692039', 'ENST00000692336')
1	1	('ENST00000608978',)
1	4	('ENST00000340160', 'ENST00000518429', 'ENST00000520358', 'ENST00000533080')
1	2	('ENST00000526419', 'ENST00000530151')
1	1	('ENST00000528538',)
1	2	('ENST00000528538', 'ENST00000543178')
1	1	('ENST00000529276',)
1	2	('ENST00000528192', 'ENST00000529276')
1	12	('ENST00000263578', 'ENST00000532125', 'ENST00000533839', 'ENST00000685484', 'ENST00000685601', 'ENST00000685765', 'ENST00000686888', 'ENST00000688588', 'ENST00000689283', 'ENST00000689477', 'ENST00000690512', 'ENST00000692336')
1	15	('ENST00000379107', 'ENST00000379109', 'ENST00000379129', 'ENST00000379132', 'ENST00000419022', 'ENST00000606377', 'ENST00000638685', 'ENST00000638914', 'ENST00000639386', 'ENST00000639409', 'ENST00000639916', 'ENST00000640368', 'ENST00000640610', 'ENST00000640975', 'ENST00000643871')
1	1	('ENST00000533202',)
1	2	('ENST00000442480', 'ENST00000682811')
1	7	('ENST00000682232', 'ENST00000682326', 'ENST00000684142', 'ENST00000684255', 'ENST00000684345', 'ENST00000684499', 'ENST00000684682')
1	5	('ENST00000308212', 'ENST00000395648', 'ENST00000525680', 'ENST00000533940', 'ENST00000616990')
1	1	('ENST00000685844',)
1	10	('ENST00000279968', 'ENST00000524373', 'ENST00000526175', 'ENST00000527271', 'ENST00000527766', 'ENST00000528724', 'ENST00000529583', 'ENST00000531909', 'ENST00000532407', 'ENST00000682305')
1	6	('ENST00000442944', 'ENST00000537841', 'ENST00000542729', 'ENST00000545621', 'ENST00000640813', 'ENST00000652429')
1	3	('ENST00000362021', 'ENST00000531419', 'ENST00000531974')
1	4	('ENST00000362021', 'ENST00000531419', 'ENST00000531865', 'ENST00000531974')
1	2	('ENST00000685601', 'ENST00000692039')
1	15	('ENST00000263578', 'ENST00000525770', 'ENST00000685484', 'ENST00000685601', 'ENST00000685765', 'ENST00000685844', 'ENST00000686242', 'ENST00000686888', 'ENST00000687699', 'ENST00000688588', 'ENST00000689283', 'ENST00000689477', 'ENST00000689765', 'ENST00000690512', 'ENST00000692039')
1	3	('ENST00000414373', 'ENST00000682791', 'ENST00000684499')
1	7	('ENST00000340160', 'ENST00000520358', 'ENST00000520837', 'ENST00000520999', 'ENST00000533080', 'ENST00000533202', 'ENST00000533786')
1	7	('ENST00000350638', 'ENST00000379163', 'ENST00000638917', 'ENST00000639182', 'ENST00000640081', 'ENST00000640231', 'ENST00000640961')
1	17	('ENST00000263578', 'ENST00000525770', 'ENST00000527004', 'ENST00000532125', 'ENST00000533839', 'ENST00000685484', 'ENST00000685601', 'ENST00000685765', 'ENST00000685844', 'ENST00000686888', 'ENST00000688588', 'ENST00000689283', 'ENST00000689477', 'ENST00000689765', 'ENST00000690512', 'ENST00000692039', 'ENST00000692336')
1	1	('ENST00000638850',)
1	11	('ENST00000392841', 'ENST00000442944', 'ENST00000536813', 'ENST00000537841', 'ENST00000542729', 'ENST00000544387', 'ENST00000545621', 'ENST00000648374', 'ENST00000650101', 'ENST00000652429', 'ENST00000686218')
1	6	('ENST00000392841', 'ENST00000542729', 'ENST00000544387', 'ENST00000648374', 'ENST00000652429', 'ENST00000686218')
1	2	('ENST00000545621', 'ENST00000652429')
1	3	('ENST00000340160', 'ENST00000518429', 'ENST00000520358')
1	2	('ENST00000524746', 'ENST00000529319')
1	1	('ENST00000532225',)
1	6	('ENST00000341846', 'ENST00000475051', 'ENST00000526881', 'ENST00000528870', 'ENST00000529044', 'ENST00000531555')
