counts	number of items in equivalence class	isoforms in equivalence class
923	13	('ENST00000311604', 'ENST00000381775', 'ENST00000405957', 'ENST00000406638', 'ENST00000417766', 'ENST00000418975', 'ENST00000421485', 'ENST00000429923', 'ENST00000432093', 'ENST00000446808', 'ENST00000451814', 'ENST00000457279', 'ENST00000612798')
915	4	('ENST00000612687', 'ENST00000617285', 'ENST00000621959', 'ENST00000652093')
915	1	('ENST00000332118',)
915	1	('ENST00000263672',)
900	1	('ENST00000054950',)
896	1	('ENST00000354193',)
893	2	('ENST00000278849', 'ENST00000394818')
887	7	('ENST00000278572', 'ENST00000422465', 'ENST00000524851', 'ENST00000527446', 'ENST00000528847', 'ENST00000530721', 'ENST00000531188')
886	12	('ENST00000301764', 'ENST00000535283', 'ENST00000679588', 'ENST00000679712', 'ENST00000680075', 'ENST00000680357', 'ENST00000680367', 'ENST00000680602', 'ENST00000680717', 'ENST00000681188', 'ENST00000681803', 'ENST00000681935')
884	5	('ENST00000346178', 'ENST00000356638', 'ENST00000532402', 'ENST00000540933', 'ENST00000648273')
882	2	('ENST00000380542', 'ENST00000620138')
882	1	('ENST00000278505',)
875	6	('ENST00000281428', 'ENST00000344954', 'ENST00000429175', 'ENST00000527786', 'ENST00000534087', 'ENST00000608303')
875	7	('ENST00000351960', 'ENST00000358965', 'ENST00000393695', 'ENST00000541584', 'ENST00000545721', 'ENST00000613205', 'ENST00000620566')
865	3	('ENST00000396394', 'ENST00000418988', 'ENST00000530457')
861	15	('ENST00000361723', 'ENST00000420244', 'ENST00000527629', 'ENST00000528737', 'ENST00000529985', 'ENST00000531147', 'ENST00000531408', 'ENST00000533703', 'ENST00000674617', 'ENST00000675163', 'ENST00000675806', 'ENST00000676340', 'ENST00000676459', 'ENST00000682018', 'ENST00000684135')
860	12	('ENST00000278572', 'ENST00000524851', 'ENST00000526248', 'ENST00000526608', 'ENST00000527446', 'ENST00000528439', 'ENST00000528847', 'ENST00000530164', 'ENST00000530170', 'ENST00000531188', 'ENST00000532872', 'ENST00000534440')
857	3	('ENST00000312175', 'ENST00000445560', 'ENST00000533166')
853	3	('ENST00000265462', 'ENST00000347941', 'ENST00000352435')
850	3	('ENST00000300688', 'ENST00000529790', 'ENST00000689460')
850	1	('ENST00000544844',)
848	3	('ENST00000278412', 'ENST00000526696', 'ENST00000529002')
844	1	('ENST00000311956',)
844	2	('ENST00000310653', 'ENST00000336083')
842	4	('ENST00000319006', 'ENST00000528070', 'ENST00000528097', 'ENST00000530440')
837	6	('ENST00000273550', 'ENST00000529191', 'ENST00000529631', 'ENST00000530019', 'ENST00000532829', 'ENST00000534180')
830	3	('ENST00000311172', 'ENST00000409314', 'ENST00000409418')
827	1	('ENST00000309295',)
825	8	('ENST00000379412', 'ENST00000422447', 'ENST00000430553', 'ENST00000486690', 'ENST00000540430', 'ENST00000541097', 'ENST00000542179', 'ENST00000545215')
823	2	('ENST00000227524', 'ENST00000535326')
818	6	('ENST00000339995', 'ENST00000396525', 'ENST00000525681', 'ENST00000526148', 'ENST00000531416', 'ENST00000531647')
816	2	('ENST00000264028', 'ENST00000359415')
814	2	('ENST00000064778', 'ENST00000356467')
810	2	('ENST00000354817', 'ENST00000532502')
810	6	('ENST00000312419', 'ENST00000529704', 'ENST00000530584', 'ENST00000531239', 'ENST00000532830', 'ENST00000543494')
805	7	('ENST00000278845', 'ENST00000394773', 'ENST00000394776', 'ENST00000494176', 'ENST00000494448', 'ENST00000529309', 'ENST00000531557')
803	7	('ENST00000273550', 'ENST00000526640', 'ENST00000529191', 'ENST00000529631', 'ENST00000530019', 'ENST00000532829', 'ENST00000534180')
799	13	('ENST00000227378', 'ENST00000453788', 'ENST00000524590', 'ENST00000525463', 'ENST00000525624', 'ENST00000526110', 'ENST00000527387', 'ENST00000530391', 'ENST00000532182', 'ENST00000532636', 'ENST00000533540', 'ENST00000534567', 'ENST00000534624')
797	5	('ENST00000294119', 'ENST00000301935', 'ENST00000529640', 'ENST00000534176', 'ENST00000616865')
792	5	('ENST00000278224', 'ENST00000380525', 'ENST00000397111', 'ENST00000529772', 'ENST00000531387')
792	9	('ENST00000318201', 'ENST00000343674', 'ENST00000421244', 'ENST00000454345', 'ENST00000456247', 'ENST00000524984', 'ENST00000527911', 'ENST00000528615', 'ENST00000532868')
785	1	('ENST00000304987',)
782	3	('ENST00000227524', 'ENST00000541371', 'ENST00000546152')
776	4	('ENST00000257261', 'ENST00000278840', 'ENST00000521849', 'ENST00000522056')
771	9	('ENST00000227157', 'ENST00000379412', 'ENST00000422447', 'ENST00000430553', 'ENST00000486690', 'ENST00000536528', 'ENST00000540430', 'ENST00000542179', 'ENST00000545215')
769	5	('ENST00000279259', 'ENST00000525297', 'ENST00000527548', 'ENST00000529639', 'ENST00000531743')
767	2	('ENST00000278927', 'ENST00000417453')
764	3	('ENST00000303296', 'ENST00000379016', 'ENST00000456517')
760	8	('ENST00000422465', 'ENST00000525690', 'ENST00000526248', 'ENST00000528439', 'ENST00000530721', 'ENST00000531188', 'ENST00000532872', 'ENST00000534440')
758	3	('ENST00000278590', 'ENST00000453089', 'ENST00000528673')
755	18	('ENST00000227157', 'ENST00000379412', 'ENST00000396222', 'ENST00000422447', 'ENST00000430553', 'ENST00000478970', 'ENST00000486690', 'ENST00000495052', 'ENST00000535451', 'ENST00000536528', 'ENST00000539814', 'ENST00000540430', 'ENST00000541097', 'ENST00000542179', 'ENST00000543445', 'ENST00000543695', 'ENST00000545215', 'ENST00000545467')
754	7	('ENST00000299421', 'ENST00000396751', 'ENST00000420936', 'ENST00000526711', 'ENST00000528995', 'ENST00000532063', 'ENST00000537806')
753	1	('ENST00000287169',)
751	7	('ENST00000379412', 'ENST00000422447', 'ENST00000430553', 'ENST00000486690', 'ENST00000540430', 'ENST00000542179', 'ENST00000545215')
740	1	('ENST00000265909',)
739	1	('ENST00000263774',)
737	6	('ENST00000227378', 'ENST00000526110', 'ENST00000532636', 'ENST00000533540', 'ENST00000534319', 'ENST00000534624')
729	4	('ENST00000612687', 'ENST00000614711', 'ENST00000617285', 'ENST00000652093')
725	3	('ENST00000352187', 'ENST00000395123', 'ENST00000395124')
